country,year,sex,age,suicides_no,population,suicide_rate
Austria,2016,male,55-74 years,290,928992,31.2166305
Austria,2016,male,75+ years,212,307692,68.9000689
Croatia,2000,female,15-24 years,9,291900,3.083247688
Croatia,2000,female,25-34 years,12,329100,3.646308113
Croatia,2000,female,35-54 years,64,579800,11.03828907
Croatia,2000,female,5-14 years,0,295200,0
Croatia,2000,female,55-74 years,99,506700,19.53818828
Croatia,2000,female,75+ years,50,144600,34.57814661
Croatia,2000,male,15-24 years,57,302700,18.83052527
Croatia,2000,male,25-34 years,77,332900,23.13006909
Croatia,2000,male,35-54 years,249,572300,43.50864931
Croatia,2000,male,5-14 years,3,309500,0.969305331
Croatia,2000,male,55-74 years,229,379300,60.37437385
Croatia,2000,male,75+ years,77,74000,104.0540541
Croatia,2001,female,15-24 years,9,295822,3.042370074
Croatia,2001,female,25-34 years,17,293342,5.795283321
Croatia,2001,female,35-54 years,56,642506,8.715871914
Croatia,2001,female,5-14 years,1,252663,0.395784108
Croatia,2001,female,55-74 years,101,526940,19.16726762
Croatia,2001,female,75+ years,41,163943,25.00869205
Croatia,2001,male,15-24 years,55,308415,17.83311447
Croatia,2001,male,25-34 years,72,296586,24.27626388
Croatia,2001,male,35-54 years,231,641519,36.00828658
Croatia,2001,male,5-14 years,3,264449,1.134434239
Croatia,2001,male,55-74 years,228,421683,54.06905187
Croatia,2001,male,75+ years,67,72765,92.07723493
Croatia,2002,female,15-24 years,13,295800,4.394861393
Croatia,2002,female,25-34 years,21,293800,7.147719537
Croatia,2002,female,35-54 years,54,649700,8.311528398
Croatia,2002,female,5-14 years,0,252500,0
Croatia,2002,female,55-74 years,88,530100,16.60064139
Croatia,2002,female,75+ years,54,172600,31.28621089
Croatia,2002,male,15-24 years,53,308300,17.19104768
Croatia,2002,male,25-34 years,82,297500,27.56302521
Croatia,2002,male,35-54 years,199,647500,30.73359073
Croatia,2002,male,5-14 years,0,264700,0
Croatia,2002,male,55-74 years,226,427000,52.92740047
Croatia,2002,male,75+ years,84,77800,107.9691517
Croatia,2003,female,15-24 years,9,293600,3.065395095
Croatia,2003,female,25-34 years,10,294100,3.400204012
Croatia,2003,female,35-54 years,47,651200,7.217444717
Croatia,2003,female,5-14 years,1,250600,0.399042298
Croatia,2003,female,55-74 years,89,530900,16.76398568
Croatia,2003,female,75+ years,37,178300,20.75154234
Croatia,2003,male,15-24 years,57,306000,18.62745098
Croatia,2003,male,25-34 years,66,299000,22.0735786
Croatia,2003,male,35-54 years,227,647900,35.03627103
Croatia,2003,male,5-14 years,3,262500,1.142857143
Croatia,2003,male,55-74 years,239,429500,55.64610012
Croatia,2003,male,75+ years,80,82000,97.56097561
Croatia,2004,female,15-24 years,14,290300,4.822597313
Croatia,2004,female,25-34 years,17,296600,5.731625084
Croatia,2004,female,35-54 years,64,648500,9.868928296
Croatia,2004,female,5-14 years,1,247600,0.403877221
Croatia,2004,female,55-74 years,87,531800,16.35953366
Croatia,2004,female,75+ years,43,185600,23.16810345
Croatia,2004,male,15-24 years,31,302100,10.26150281
Croatia,2004,male,25-34 years,59,302300,19.51703606
Croatia,2004,male,35-54 years,214,644300,33.21434115
Croatia,2004,male,5-14 years,3,259200,1.157407407
Croatia,2004,male,55-74 years,227,432700,52.46128958
Croatia,2004,male,75+ years,111,88600,125.282167
Croatia,2005,female,15-24 years,9,286454,3.14186571
Croatia,2005,female,25-34 years,25,299476,8.347914357
Croatia,2005,female,35-54 years,68,647419,10.50324442
Croatia,2005,female,5-14 years,0,244865,0
Croatia,2005,female,55-74 years,76,534353,14.22280777
